Timestamp,Your BITSAT (or SAT) Score,Maximum BITSAT Score,Field of Study,Semester Wise Scores [9.51 - 10.00],Semester Wise Scores [9.01 - 9.50],Semester Wise Scores [8.51 - 9.00],Semester Wise Scores [8.01 - 8.50],Semester Wise Scores [7.51 - 8.00],Semester Wise Scores [7.01 - 7.50],Semester Wise Scores [6.51 - 7.00],Semester Wise Scores [6.01 - 6.50],Semester Wise Scores [5.51 - 6.00],Semester Wise Scores [5.01 - 5.50],Semester Wise Scores [4.50 - 5.00],Current/Graduating CGPA,Current Semester,How many courses have you withdrawn from?,Your Pronouns (optional),Semester Wise Scores [Less than 4.50],Maximum SAT Score,Are you an international student?
11/9/2023 13:28:03,337,450,A7,,,1-1 SGPA,1-2 SGPA,"2-1 SGPA, 2-2 SGPA, 3-1 SGPA",3-2 SGPA,,,,,,7.7,7,0,IdontBelieve/inPronouns,,I took the BITSAT,No
11/9/2023 14:11:50,275,450,A3,,,"1-1 SGPA, 2-2 SGPA",,1-2 SGPA,,2-1 SGPA,,,,,8.21,5,2,,,I took the BITSAT,No
11/9/2023 14:17:02,314,450,AA,,,1-2 SGPA,1-1 SGPA,"2-1 SGPA, 2-2 SGPA",,,,,,,8.19,7,2,She,,I took the BITSAT,No
11/9/2023 14:47:39,2400,I took the SAT,A7,,,1-2 SGPA,3-1 SGPA,"1-1 SGPA, 2-1 SGPA, 3-2 SGPA",2-2 SGPA,,,,,,7.93,7,2,she/they,,2400,Yes
11/9/2023 16:36:57,258,450,B3A7,,,1-2 SGPA,"2-1 SGPA, 2-2 SGPA",1-1 SGPA,,,,,,,8.4,5,0,,,I took the BITSAT,No
11/9/2023 16:52:33,6,I took the SAT,T,,,,,,,"1-2 SGPA, 2-2 SGPA, 4-1 SGPA",,3-1 SGPA,,1-1 SGPA,3,3,7,Y,2-1 SGPA,2400,Yes
11/9/2023 19:15:47,222,450,,"3-1 SGPA, 4-1 SGPA",3-2 SGPA,2-1 SGPA,"1-2 SGPA, 2-2 SGPA",,,1-1 SGPA,,,,,8.63,7,0,,,I took the BITSAT,No
11/9/2023 19:34:47,222,390,A8,,,1-1 SGPA,1-2 SGPA,,,,,,,,8.46,3,0,He/Him,,I took the BITSAT,No
11/9/2023 21:12:57,225,450,A4,,,,,"2-1 SGPA, 2-2 SGPA",1-1 SGPA,,1-2 SGPA,,,,7.41,5,0,she/her,,I took the BITSAT,No
11/9/2023 22:09:39,321,450,AA,1-1 SGPA,"1-2 SGPA, 3-1 SGPA","2-2 SGPA, 3-2 SGPA",,2-1 SGPA,,,,,,,9,7,2,He/him,,I took the BITSAT,No
11/9/2023 22:37:40,282,450,A3,,1-1 SGPA,,"2-1 SGPA, 2-2 SGPA",1-2 SGPA,,,,,,,8.45,5,0,she/her,,I took the BITSAT,No
11/10/2023 3:51:43,280,390,A7,,,,1-1 SGPA,1-2 SGPA,,,,,,,7.89,3,0,he,,I took the BITSAT,No
11/10/2023 4:49:39,273,450,A3,2-1 SGPA,"1-1 SGPA, 1-2 SGPA, 2-2 SGPA",,,,,,,,,,9.38,3,1,he/him,,I took the BITSAT,No
11/10/2023 11:09:57,201,390,B4AA,,,,1-2 SGPA,,1-1 SGPA,,,,,,7.76,3,1,He/him,,I took the BITSAT,No
11/10/2023 12:59:29,256,390,A3,,1-1 SGPA,,,,,,,,,,9.5,1,0,he/him,,I took the BITSAT,No
11/11/2023 19:22:01,277,450,A3,2-2 SGPA,2-1 SGPA,,1-2 SGPA,,1-1 SGPA,,,,,,8.81,5,0,He/him,,I took the BITSAT,No
11/12/2023 0:01:27,293,450,A8,,,,,"1-2 SGPA, 2-2 SGPA",1-1 SGPA,2-1 SGPA,,,,,7.93,I have graduated,1,he/him,,I took the BITSAT,No
11/12/2023 7:40:10,266,390,AA,,,,1-2 SGPA,1-1 SGPA,,,,,,,8.03,3,0,,,I took the BITSAT,No
11/12/2023 8:52:34,338,450,A7,1-2 SGPA,,,,"1-1 SGPA, 2-2 SGPA, 3-2 SGPA","2-1 SGPA, 3-1 SGPA",,,,,,7.53,7,1,he/him,,I took the BITSAT,No
11/12/2023 13:29:59,192,390,B1A4,,,,,,,,,"1-1 SGPA, 1-2 SGPA",,,5.78,3,0,,,I took the BITSAT,No
11/13/2023 9:48:05,347,450,A7,,"1-1 SGPA, 1-2 SGPA",,,,2-1 SGPA,"2-2 SGPA, 3-1 SGPA, 3-2 SGPA",,,,,7.4,7,1,He/Him,,I took the BITSAT,No
11/14/2023 11:58:31,292,390,A7,,,,1-1 SGPA,1-2 SGPA,,,,,,,7.92,3,0,He/Him,,I took the BITSAT,No
11/15/2023 21:27:46,276,390,AA,,,,,,"1-1 SGPA, 1-2 SGPA",,,,,,7.24,3,0,He/Him,,I took the BITSAT,No
11/17/2023 17:34:02,301,450,A4,,,,"1-1 SGPA, 1-2 SGPA, 2-1 SGPA, 2-2 SGPA, 3-1 SGPA, 3-2 SGPA",,,,,,,,8.3,7,1,,,I took the BITSAT,No
11/17/2023 17:36:12,300,450,A4,,,,,"1-1 SGPA, 1-2 SGPA, 2-1 SGPA, 2-2 SGPA, 3-1 SGPA, 3-2 SGPA",,,,,,,7.8,7,0,,,I took the BITSAT,No
11/17/2023 17:42:06,268,450,A3,,,2-2 SGPA,2-1 SGPA,1-2 SGPA,,1-1 SGPA,,,,,7.95,5,1,,,I took the BITSAT,No
11/17/2023 18:20:05,293,450,A4,4-1 SGPA,,3-2 SGPA,3-1 SGPA,"1-1 SGPA, 2-2 SGPA",2-1 SGPA,,1-2 SGPA,,,,8.1,7,2,,,I took the BITSAT,No
11/17/2023 20:07:36,274,390,A3,1-1 SGPA,,,2-1 SGPA,,"1-2 SGPA, 2-2 SGPA",,,,,,8.08,5,0,she/her,,I took the BITSAT,No
11/18/2023 0:59:36,246,390,B4A7,,,1-1 SGPA,,1-2 SGPA,,,,,,,8.32,3,0,he/him,,I took the BITSAT,No
11/18/2023 14:27:14,241,390,A4,,,,1-1 SGPA,1-2 SGPA,,,,,,,7.97,3,0,,,I took the BITSAT,No
11/18/2023 16:06:57,322,450,AA,"2-2 SGPA, 4-2 SGPA",3-2 SGPA,"1-1 SGPA, 3-1 SGPA",,"2-1 SGPA, 4-1 SGPA",,1-2 SGPA,,,,,8.79,I have graduated,0,he/him,,I took the BITSAT,No
11/18/2023 18:58:07,220,390,B5AA,2-2 SGPA,,1-2 SGPA,,1-1 SGPA,,,,,,,8.1,3,0,He/him,,I took the BITSAT,No
